,accuracy,best_params,c,cm_00,cm_01,cm_02,cm_10,cm_11,cm_12,cm_20,cm_21,cm_22,f1,precision,recall
52,0.69298245614,{'nb__priors': None},0.6,137,0,0,154,162,8,6,7,96,0.729981889198,0.780978755338,0.793577981651
53,0.661403508772,{'nb__priors': None},0.6,141,0,0,158,151,11,8,16,85,0.692951927228,0.749630557018,0.75056383792
54,0.702702702703,{'nb__priors': None},0.6,142,1,0,136,161,7,6,15,87,0.73197673149,0.778378811556,0.77605593724
55,0.685816876122,{'nb__priors': None},0.6,142,0,0,136,157,10,5,24,83,0.708917240752,0.75388107255,0.753074414584
56,0.634719710669,{'nb__priors': None},0.6,143,0,0,145,131,40,8,9,77,0.651966620409,0.692314017314,0.744568632732
57,0.634719710669,{'nb__priors': None},0.6,126,0,0,140,126,37,9,16,99,0.652086508017,0.691148979438,0.738076226978
58,0.684955752212,{'nb__priors': None},0.6,141,0,0,157,157,8,4,9,89,0.724827944506,0.776732107648,0.786708886453
59,0.678057553957,{'nb__priors': None},0.6,138,1,0,135,155,15,9,19,84,0.699207937294,0.741186945442,0.750334158902
60,0.627254509018,{'nb__priors': None},0.7,133,0,0,132,103,39,8,7,77,0.644005120837,0.69577874233,0.737622976833
61,0.673913043478,{'nb__priors': None},0.7,137,0,0,138,121,9,8,10,83,0.70633362335,0.769978991703,0.75775823851
62,0.695906432749,{'nb__priors': None},0.7,137,0,0,124,144,14,6,12,76,0.720613008293,0.760209993918,0.77304964539
63,0.669921875,{'nb__priors': None},0.7,132,0,0,129,125,21,7,12,86,0.692705623741,0.736228130105,0.757864357864
64,0.672,{'nb__priors': None},0.7,130,0,0,138,128,9,9,8,78,0.706278180731,0.769014091383,0.762169059011
65,0.663385826772,{'nb__priors': None},0.7,132,0,0,131,118,27,4,9,87,0.686782062645,0.728891258492,0.765845410628
66,0.697394789579,{'nb__priors': None},0.7,124,1,0,124,148,7,6,13,76,0.726495986778,0.772477291298,0.774155316607
67,0.673189823875,{'nb__priors': None},0.7,142,0,0,125,132,11,6,25,70,0.691581529739,0.741702794074,0.728535540121
68,0.650793650794,{'nb__priors': None},0.7,123,1,0,127,144,6,9,33,61,0.664303913974,0.731446666714,0.701341363083
69,0.670565302144,{'nb__priors': None},0.7,138,0,0,131,141,7,5,26,65,0.691999810649,0.750246263353,0.72748655914
