,AvgRequestNo,AvgTimeBetwReq,AvgTimeBetwRespReq,AvgDataRate,AvgPacketNo,AvgPacketSize,AvgConcurrentReq,MaxReq,AvgDuration,Class
620,0.335053997027,2.20243706089e-05,9.36035750877e-05,0.000390932578308,0.351255674656,0.382673439329,0.445434636426,0.646965886636,0.0306964665361,flooding
621,0.381128775924,5.9180338258e-06,2.21926268468e-05,0.000423139418545,0.381150968551,0.205651675447,0.514070008278,0.634709127817,0.00695368974532,flooding
622,0.211734535271,4.79927773858e-05,0.000335949441701,0.000319951849239,0.28665126077,0.444733070442,0.202299155237,0.755086364203,0.253241888672,flooding
623,0.310779909527,7.83227340956e-06,6.57910966403e-05,0.000346186484703,0.310862931625,0.217737200786,0.432079894276,0.756597611364,0.0154107811607,flooding
624,0.263327388985,3.59172596311e-05,0.000221489767725,0.00036216570128,0.326697407394,0.416041590727,0.248538457332,0.742290032376,0.195117519841,flooding
625,0.383673953551,3.94919957542e-06,1.71131981601e-05,0.000426513554145,0.383704230748,0.182979580328,0.510931644269,0.641086731076,0.00634899651741,flooding
626,0.238417850834,3.0258516022e-05,0.000189803418684,0.000352099095529,0.315519300433,0.382357611551,0.237851191352,0.781219868205,0.174726425382,flooding
627,0.403757308617,3.50918361237e-06,1.40367344495e-05,0.000449175502384,0.403798249092,0.16259217404,0.532120905702,0.603579581328,0.00544274378279,flooding
628,0.278795601543,2.23519282885e-05,0.000141562212494,0.000377499233317,0.339818849318,0.345213114678,0.325103829861,0.754998466634,0.109127081,flooding
629,0.277752159874,2.18832677259e-05,0.000131299606355,0.000389035870683,0.349432019047,0.337974912656,0.319381429511,0.75618847364,0.112686671417,flooding
630,0.311454476377,1.47135571766e-05,0.000109300710455,0.00034681956202,0.311553267404,0.292169206792,0.408511405324,0.739881732309,0.079127408559,flooding
631,0.325096328683,1.20363697471e-05,9.8297019601e-05,0.000361091092412,0.325473468269,0.278842565807,0.441287417975,0.714157938326,0.0766155055633,flooding
632,0.007592315196,9.51801322982e-05,7.73338574923e-05,0.000724048863554,0.0779618764009,0.986364458345,0.0086324980704,0.144469843667,0.00169199681612,flooding
633,0.00965837241761,6.40713969941e-05,4.68815099957e-05,0.0011235935229,0.111567836129,0.983529542275,0.010824940658,0.141425888487,0.00304026592322,flooding
634,0.420066166991,4.96202483682e-07,4.96202483682e-07,0.00314096172171,0.780327033433,0.249660806247,0.0134882721139,0.390015152174,3.96961986946e-06,flooding
635,0.45066532733,4.84734399892e-07,4.84734399892e-07,0.00304510150012,0.727013862912,0.253795782892,0.0164140762491,0.4512877263,3.39314079924e-06,flooding
